Product ID,avg_torque,avg_speed,max_tool_wear,cluster
L49190,60.5,1278.0,32,2
L49191,30.2,1616.0,34,1
L49192,46.4,1397.0,36,2
L49193,42.9,1485.0,38,2
L49194,59.7,1310.0,40,2
L49195,66.3,1301.0,42,2
L49196,44.0,1458.0,44,2
L49197,42.5,1483.0,46,2
L49198,46.4,1375.0,48,2
L49201,42.2,1480.0,58,2
L49202,46.9,1373.0,60,2
L49203,54.2,1444.0,62,2
L49205,39.9,1469.0,67,2
L49207,25.8,1750.0,72,1
L49209,35.2,1668.0,77,1
L49210,49.5,1400.0,79,2
L49211,62.8,1331.0,81,2
L49212,42.2,1444.0,83,2
L49216,22.8,1892.0,96,1
L49218,55.2,1405.0,103,2
L49220,29.6,1686.0,108,1
L49221,27.2,1680.0,110,1
L49224,41.1,1470.0,118,0
L49226,45.5,1388.0,123,0
L49227,24.2,1775.0,125,1
L49228,41.5,1465.0,127,0
L49232,40.4,1477.0,138,0
L49233,61.0,1382.0,140,0
L49235,32.9,1643.0,145,1
L49236,54.1,1333.0,147,0
L49237,42.3,1520.0,149,0
L49240,27.7,1803.0,159,1
L49241,50.7,1359.0,161,0
L49243,53.4,1321.0,166,0
L49244,41.4,1453.0,168,0
L49245,45.1,1419.0,170,0
L49246,36.2,1512.0,172,0
L49247,36.8,1553.0,174,0
L49250,49.7,1352.0,184,0
L49252,35.5,1570.0,189,0
L49253,31.1,1677.0,191,1
L49254,31.5,1602.0,193,0
L49255,58.8,1390.0,195,0
L49256,36.0,1544.0,197,0
L49257,31.2,1701.0,199,1
L49260,15.4,2280.0,207,1
L49264,46.2,1442.0,5,2
L49265,46.7,1462.0,7,2
L49267,36.6,1577.0,14,2
L49268,46.4,1331.0,16,2
L49269,22.5,1941.0,18,1
L49270,47.3,1393.0,20,2
L49271,42.1,1433.0,22,2
L49272,48.2,1444.0,24,2
L49273,39.0,1564.0,26,2
L49274,43.6,1377.0,28,2
L49275,41.5,1525.0,30,2
L49278,59.0,1401.0,38,2
L49279,31.8,1596.0,40,1
L49281,37.8,1528.0,45,2
L49282,62.0,1325.0,47,2
L49285,44.0,1495.0,55,2
L49286,28.6,1645.0,57,1
L49291,47.9,1436.0,75,2
L49292,22.6,1852.0,77,1
L49293,22.5,1863.0,79,1
L49295,47.3,1404.0,86,2
L49303,38.4,1491.0,115,0
L49304,39.1,1430.0,117,0
L49305,69.4,1258.0,119,0
L49306,46.5,1449.0,121,0
L49308,24.3,1800.0,128,1
L49310,58.2,1391.0,135,0
L49311,45.4,1432.0,137,0
L49312,28.4,1660.0,139,1
L49314,46.3,1473.0,146,0
L49315,47.8,1511.0,148,0
L49316,41.5,1588.0,150,0
L49317,31.1,1623.0,152,1
L49318,30.6,1734.0,154,1
L49319,47.6,1415.0,156,0
L49320,46.6,1419.0,158,0
L49322,60.3,1376.0,163,0
L49324,40.5,1451.0,168,0
L49325,45.8,1550.0,170,0
L49326,32.9,1647.0,172,1
L49327,33.7,1550.0,174,0
L49328,34.1,1583.0,176,0
L49329,32.2,1613.0,178,0
L49335,47.7,1341.0,199,0
L49340,41.0,1507.0,213,0
L49341,40.5,1464.0,215,0
L49342,42.1,1336.0,217,0
L49343,39.8,1422.0,219,0
L49344,36.7,1540.0,221,0
L49345,47.8,1476.0,223,0
L49349,49.2,1415.0,8,2
L49351,44.6,1502.0,13,2
L49352,23.0,1816.0,15,1
L49354,33.4,1572.0,20,2
L49358,37.3,1602.0,31,2
L49359,33.3,1601.0,33,2
L49364,43.4,1475.0,51,2
L49365,32.4,1630.0,53,1
L49366,42.9,1445.0,55,2
L49368,44.1,1420.0,60,2
L49371,33.6,1648.0,70,1
L49372,48.8,1472.0,72,2
L49375,30.8,1613.0,80,1
L49377,49.2,1412.0,85,2
L49380,35.6,1546.0,93,2
L49381,36.1,1567.0,95,2
L49383,30.8,1614.0,100,1
L49385,34.6,1624.0,105,1
L49386,52.0,1436.0,107,2
L49387,37.5,1591.0,109,0
L49389,49.4,1386.0,116,0
L49390,54.1,1401.0,118,0
L49392,40.0,1475.0,123,0
L49393,39.4,1473.0,125,0
L49396,30.8,1645.0,137,1
L49397,55.3,1347.0,139,0
L49398,33.5,1713.0,141,1
L49401,60.4,1372.0,149,0
L49402,33.0,1605.0,151,1
L49403,48.5,1413.0,153,0
L49407,20.4,1965.0,164,1
L49409,30.8,1681.0,171,1
L49410,45.7,1446.0,173,0
L49411,56.4,1415.0,175,0
L49412,30.5,1672.0,177,1
L49413,13.0,2549.0,179,1
L49414,40.5,1492.0,181,0
L49417,50.6,1403.0,189,0
L49418,49.6,1474.0,191,0
L49419,50.0,1381.0,193,0
L49420,44.7,1457.0,195,0
L49421,28.9,1711.0,197,1
L49422,29.0,1667.0,199,1
L49423,35.0,1465.0,201,0
L49426,47.4,1406.0,3,2
L49429,46.5,1442.0,11,2
L49433,54.1,1386.0,26,2
L49434,46.9,1325.0,28,2
L49435,33.7,1559.0,30,2
L49436,38.1,1489.0,32,2
L49437,25.2,1892.0,34,1
L49438,60.3,1319.0,36,2
L49439,52.3,1431.0,38,2
L49442,42.4,1533.0,48,2
L49446,60.6,1381.0,59,2
L49447,52.4,1370.0,61,2
L49448,46.6,1438.0,63,2
L49449,48.2,1314.0,65,2
L49450,48.1,1437.0,67,2
L49451,26.1,1821.0,69,1
L49453,32.7,1589.0,74,1
L49454,33.7,1520.0,76,2
L49455,37.0,1605.0,78,2
L49456,54.2,1393.0,80,2
L49459,39.0,1525.0,90,2
L49460,57.0,1390.0,92,2
L49461,38.9,1536.0,94,2
L49462,47.6,1459.0,96,2
L49463,51.1,1387.0,98,2
L49464,53.4,1378.0,100,2
L49465,56.7,1381.0,102,2
L49467,26.8,1746.0,107,1
L49469,37.8,1504.0,112,0
L49472,53.2,1422.0,120,0
L49473,38.3,1520.0,122,0
L49474,32.6,1627.0,124,1
L49475,37.2,1512.0,126,0
L49476,42.7,1553.0,128,0
L49477,26.0,1802.0,130,1
L49478,37.6,1482.0,132,0
L49479,62.9,1446.0,134,0
L49480,50.5,1371.0,136,0
L49482,39.8,1515.0,141,0
L49483,53.6,1374.0,143,0
L49484,39.8,1455.0,145,0
L49486,57.8,1260.0,152,0
L49488,55.5,1371.0,159,0
L49489,31.4,1611.0,161,1
L49494,47.2,1368.0,175,0
L49495,37.9,1526.0,177,0
L49496,39.2,1542.0,179,0
L49497,31.1,1605.0,181,1
L49498,51.4,1405.0,183,0
L49502,41.9,1514.0,196,0
L49504,29.9,1636.0,201,1
L49505,33.9,1603.0,203,0
L49508,36.3,1579.0,211,0
L49509,40.5,1484.0,213,0
L49511,53.6,1384.0,218,0
L49512,50.4,1378.0,220,0
L49513,45.2,1445.0,222,0
L49514,43.5,1445.0,224,0
L49515,39.4,1509.0,0,2
L49516,46.8,1434.0,2,2
L49517,23.9,1877.0,4,1
L49518,28.0,1651.0,6,1
L49519,41.3,1466.0,8,2
L49520,40.7,1479.0,10,2
L49521,46.4,1409.0,12,2
L49523,61.4,1305.0,17,2
L49525,38.7,1475.0,22,2
L49526,47.7,1402.0,24,2
L49527,43.0,1410.0,26,2
L49528,41.8,1436.0,28,2
L49530,26.4,1744.0,33,1
L49531,48.4,1393.0,35,2
L49533,22.8,1841.0,40,1
L49534,37.7,1433.0,42,2
L49537,26.1,1772.0,52,1
L49539,38.5,1413.0,57,2
L49543,45.4,1510.0,72,2
L49544,49.7,1366.0,74,2
L49545,22.9,1845.0,76,1
L49546,44.7,1485.0,78,2
L49550,34.1,1620.0,89,1
L49551,44.8,1409.0,91,2
L49553,51.3,1350.0,96,2
L49558,56.1,1348.0,110,2
L49560,60.9,1242.0,117,0
L49561,34.9,1493.0,119,0
L49562,31.4,1601.0,121,1
L49563,33.3,1568.0,123,1
L49565,34.1,1524.0,128,0
L49566,37.9,1543.0,130,0
L49569,27.0,1867.0,138,1
L49570,41.2,1487.0,140,0
L49571,32.6,1580.0,142,1
L49572,50.0,1340.0,144,0
L49573,41.6,1544.0,146,0
L49574,40.3,1488.0,148,0
L49577,38.8,1582.0,156,0
L49578,43.2,1490.0,158,0
L49582,51.0,1325.0,171,0
L49585,38.9,1498.0,181,0
L49586,41.6,1437.0,183,0
L49588,52.6,1356.0,188,0
L49589,46.8,1539.0,190,0
L49590,32.1,1689.0,192,1
L49591,38.1,1559.0,194,0
L49592,46.7,1408.0,196,0
L49593,23.0,1886.0,198,1
L49594,43.4,1415.0,0,2
L49596,38.6,1571.0,5,2
L49597,36.6,1576.0,7,2
L49598,34.4,1660.0,9,2
L49601,15.0,2384.0,19,1
L49602,53.4,1443.0,21,2
L49604,23.8,1828.0,26,1
L49605,53.5,1472.0,28,2
L49607,23.8,1855.0,33,1
L49609,48.9,1432.0,38,2
L49612,43.5,1510.0,46,2
L49613,44.0,1441.0,48,2
L49615,30.4,1686.0,53,1
L49617,40.1,1426.0,60,2
L49619,31.6,1693.0,65,1
L49620,47.9,1426.0,67,2
L49621,31.0,1676.0,69,1
L49623,35.0,1647.0,74,1
L49624,68.2,1267.0,76,2
L49626,48.9,1422.0,83,2
L49627,48.7,1408.0,85,2
L49628,42.5,1440.0,87,2
L49629,25.2,1772.0,89,1
L49630,37.8,1492.0,91,2
L49631,30.5,1650.0,93,1
L49633,30.8,1648.0,98,1
L49634,31.7,1653.0,100,1
L49635,22.3,1946.0,102,1
L49636,36.6,1555.0,104,2
L49637,32.2,1661.0,106,1
L49638,45.9,1434.0,108,2
L49639,54.2,1297.0,110,2
L49640,46.4,1466.0,112,0
L49642,34.5,1742.0,117,1
L49643,39.1,1580.0,119,0
L49645,40.7,1481.0,124,0
L49646,37.7,1429.0,126,0
L49649,37.5,1507.0,134,0
L49650,44.7,1467.0,136,0
L49651,51.1,1301.0,138,0
L49652,55.1,1429.0,140,0
L49654,40.6,1503.0,145,0
L49655,43.1,1459.0,147,0
L49657,57.3,1387.0,154,0
L49659,34.7,1604.0,159,0
L49660,32.4,1734.0,161,1
L49661,47.8,1378.0,163,0
L49662,41.8,1504.0,165,0
L49665,35.5,1593.0,175,0
L49668,50.7,1356.0,185,0
L49671,43.4,1445.0,197,0
L49674,53.6,1329.0,207,0
L49678,47.2,1467.0,218,0
L49680,32.3,1617.0,223,0
L49682,48.9,1515.0,228,0
L49683,47.2,1408.0,0,2
L49684,45.6,1468.0,2,2
L49685,48.7,1387.0,4,2
L49688,30.6,1615.0,14,1
L49689,35.9,1511.0,16,2
L49690,53.8,1405.0,18,2
L49692,38.3,1530.0,23,2
L49693,32.5,1583.0,25,2
L49694,18.7,2069.0,27,1
L49695,35.0,1490.0,29,2
L49696,29.0,1736.0,31,1
L49697,44.4,1395.0,33,2
L49699,32.4,1631.0,38,1
L49700,41.2,1535.0,40,2
L49701,34.4,1584.0,42,2
L49703,35.2,1635.0,47,2
L49706,35.0,1501.0,55,2
L49707,50.8,1450.0,57,2
L49708,25.9,1730.0,59,1
L49710,51.7,1438.0,64,2
L49712,44.9,1389.0,69,2
L49713,33.6,1490.0,71,2
L49714,26.6,1729.0,73,1
L49715,38.4,1495.0,75,2
L49716,53.9,1281.0,77,2
L49718,50.1,1429.0,84,2
L49719,42.1,1413.0,86,2
L49720,38.3,1502.0,88,2
L49723,23.5,1786.0,100,1
L49724,21.4,1951.0,102,1
L49726,34.3,1605.0,107,1
L49727,38.1,1578.0,109,0
L49729,42.3,1489.0,114,0
L49730,48.4,1366.0,116,0
L49731,37.2,1541.0,118,0
L49733,40.3,1473.0,125,0
L49734,37.9,1531.0,127,0
L49735,37.2,1511.0,129,0
L49739,50.4,1447.0,140,0
L49741,31.7,1607.0,145,1
L49742,39.1,1551.0,147,0
L49743,37.2,1496.0,149,0
L49744,38.0,1493.0,151,0
L49745,50.5,1304.0,153,0
L49747,24.6,1766.0,158,1
L49748,43.1,1450.0,160,0
L49750,26.5,1713.0,167,1
L49753,41.5,1499.0,175,0
L49754,19.3,1972.0,177,1
L49755,49.2,1422.0,179,0
L49756,41.5,1523.0,181,0
L49757,41.5,1563.0,183,0
L49758,46.6,1391.0,185,0
L49759,24.7,1795.0,187,1
L49760,53.7,1293.0,189,0
L49761,60.7,1345.0,191,0
L49762,33.7,1615.0,193,0
L49763,50.8,1342.0,195,0
L49764,46.7,1502.0,197,0
L49766,42.8,1537.0,202,0
L49767,16.8,2248.0,204,1
L49768,28.6,1706.0,206,1
L49769,16.6,2250.0,208,1
L49770,48.6,1396.0,0,2
L49771,46.4,1522.0,2,2
L49772,45.4,1539.0,4,2
L49774,37.0,1446.0,11,2
L49776,38.6,1426.0,16,2
L49777,38.9,1449.0,18,2
L49778,67.5,1320.0,20,2
L49780,47.3,1422.0,25,2
L49781,52.1,1399.0,27,2
L49782,41.5,1427.0,29,2
L49785,37.4,1552.0,37,2
L49787,48.6,1448.0,44,2
L49788,44.7,1409.0,46,2
L49789,34.5,1621.0,48,2
L49791,22.1,1957.0,55,1
L49792,14.2,2421.0,57,1
L49794,36.8,1634.0,62,2
L49795,38.7,1516.0,64,2
L49796,66.5,1207.0,66,2
L49797,35.9,1670.0,68,1
L49799,40.8,1569.0,73,2
L49800,35.7,1556.0,75,2
L49805,39.9,1399.0,91,2
L49806,29.8,1650.0,93,1
L49809,37.8,1586.0,103,2
L49810,39.6,1372.0,105,2
L49813,39.8,1532.0,115,0
L49814,32.0,1554.0,117,1
L49816,61.3,1254.0,124,0
L49817,49.7,1294.0,126,0
L49818,27.5,1739.0,128,1
L49822,40.3,1542.0,141,0
L49824,42.5,1510.0,146,0
L49827,45.6,1408.0,156,0
L49828,51.6,1436.0,158,0
L49830,59.3,1280.0,163,0
L49831,20.4,2008.0,165,1
L49832,23.5,1772.0,167,1
L49833,26.1,1779.0,169,1
L49834,35.5,1567.0,171,0
L49836,51.3,1349.0,176,0
L49838,44.5,1395.0,181,0
L49840,56.4,1291.0,188,0
L49843,31.1,1620.0,196,0
L49845,15.9,2256.0,201,1
L49850,46.2,1467.0,219,0
L49852,42.6,1445.0,0,2
L49853,40.9,1480.0,2,2
L49854,37.2,1546.0,4,2
L49855,35.8,1574.0,6,2
L49856,34.2,1592.0,8,2
L49857,39.6,1495.0,10,2
L49858,43.1,1447.0,12,2
L49859,44.4,1476.0,14,2
L49860,27.1,1641.0,16,1
L49861,32.2,1545.0,18,2
L49863,28.5,1590.0,23,1
L49864,37.4,1460.0,25,2
L49865,32.5,1609.0,27,2
L49866,27.5,1633.0,29,1
L49867,52.8,1348.0,31,2
L49868,53.9,1322.0,33,2
L49869,30.1,1641.0,35,1
L49870,26.0,1728.0,37,1
L49871,47.7,1431.0,39,2
L49872,30.4,1641.0,41,1
L49875,22.7,1869.0,49,1
L49876,46.0,1452.0,51,2
L49877,28.7,1618.0,53,1
L49878,20.0,2010.0,55,1
L49879,60.9,1363.0,57,2
L49880,40.4,1473.0,59,2
L49881,50.8,1333.0,61,2
L49882,25.9,1760.0,63,1
L49885,64.8,1326.0,71,2
L49888,15.3,2266.0,79,1
L49889,35.8,1641.0,81,1
L49890,39.2,1574.0,83,2
L49891,50.6,1407.0,85,2
L49896,44.6,1498.0,101,2
L49898,47.3,1357.0,106,2
L49899,29.2,1690.0,108,1
L49900,39.1,1559.0,110,0
L49902,34.8,1558.0,115,0
L49903,51.9,1362.0,117,0
L49905,34.8,1555.0,122,0
L49907,38.5,1434.0,127,0
L49908,25.5,1779.0,129,1
L49909,54.6,1417.0,131,0
L49910,45.9,1425.0,133,0
L49912,57.4,1346.0,138,0
L49913,40.4,1422.0,140,0
L49915,45.4,1412.0,147,0
L49919,35.4,1572.0,158,0
L49920,42.8,1525.0,160,0
L49921,51.9,1378.0,162,0
L49922,51.4,1369.0,164,0
L49923,45.3,1476.0,166,0
L49924,30.0,1620.0,168,1
L49926,46.1,1411.0,173,0
L49927,31.6,1616.0,175,1
L49928,35.1,1631.0,177,0
L49931,50.1,1417.0,187,0
L49933,27.8,1715.0,192,1
L49935,38.8,1478.0,199,0
L49936,29.6,1781.0,201,1
L49937,36.1,1439.0,203,0
L49939,41.1,1483.0,208,0
L49940,42.6,1400.0,210,0
L49941,65.1,1299.0,212,0
L49942,44.4,1479.0,214,0
L49943,47.5,1491.0,216,0
L49947,21.9,1925.0,9,1
L49948,30.2,1675.0,11,1
L49950,45.9,1364.0,16,2
L49951,39.4,1451.0,18,2
L49952,41.2,1467.0,20,2
L49953,22.5,1858.0,22,1
L49954,39.7,1559.0,24,2
L49955,47.7,1560.0,26,2
L49956,47.6,1453.0,28,2
L49957,41.7,1464.0,30,2
L49958,50.2,1308.0,32,2
L49959,50.9,1353.0,34,2
L49961,17.8,2183.0,39,1
L49964,52.7,1430.0,47,2
L49965,32.6,1495.0,49,2
L49968,52.4,1326.0,57,2
L49970,45.9,1356.0,64,2
L49972,32.6,1584.0,71,1
L49973,31.8,1597.0,73,1
L49974,43.9,1553.0,75,2
L49976,35.3,1539.0,80,2
L49978,39.6,1568.0,85,2
L49979,44.6,1404.0,87,2
L49983,50.2,1343.0,98,2
L49984,40.1,1450.0,100,2
L49985,43.5,1460.0,102,2
L49986,41.2,1364.0,104,2
L49988,41.8,1471.0,109,0
L49989,34.6,1598.0,111,1
L49990,24.8,1772.0,113,1
L49991,25.6,1761.0,115,1
L49993,22.6,1887.0,120,1
L49994,56.5,1395.0,122,0
L49996,47.3,1434.0,127,0
L49997,41.1,1417.0,129,0
L49998,28.4,1729.0,131,1
L49999,51.1,1356.0,133,0
L50000,48.8,1436.0,135,0
L50002,38.1,1593.0,140,0
L50005,33.5,1470.0,148,0
L50007,51.6,1412.0,153,0
L50009,36.0,1612.0,158,0
L50013,26.4,1807.0,169,1
L50014,46.0,1368.0,171,0
L50015,32.0,1572.0,173,0
L50017,30.3,1699.0,178,1
L50018,39.5,1478.0,180,0
L50021,29.4,1705.0,190,1
L50022,53.5,1345.0,192,0
L50023,40.2,1532.0,194,0
L50024,35.2,1650.0,196,0
L50025,54.4,1398.0,198,0
L50026,44.8,1412.0,200,0
L50027,39.6,1525.0,202,0
L50029,28.2,1766.0,207,1
L50030,35.0,1671.0,209,0
L50031,48.8,1373.0,211,0
L50034,40.8,1470.0,219,0
L50035,37.0,1528.0,221,0
L50038,51.5,1417.0,231,0
L50039,43.4,1549.0,233,0
L50041,43.6,1479.0,240,0
L50042,23.0,1867.0,242,1
L50043,44.1,1471.0,244,0
L50046,20.7,1997.0,5,1
L50048,46.6,1418.0,12,2
L50049,35.8,1519.0,14,2
L50052,28.7,1680.0,22,1
L50054,49.6,1471.0,29,2
L50060,37.2,1541.0,48,2
L50062,32.8,1684.0,53,1
L50063,40.0,1437.0,55,2
L50064,42.4,1409.0,57,2
L50070,32.4,1593.0,76,1
L50071,30.7,1682.0,78,1
L50072,54.3,1329.0,80,2
L50074,24.8,1733.0,85,1
L50079,40.6,1410.0,99,2
L50080,33.5,1574.0,101,1
L50081,40.3,1425.0,103,2
L50084,13.5,2496.0,111,1
L50085,36.4,1552.0,113,0
L50086,38.7,1409.0,115,0
L50088,59.9,1251.0,120,0
L50089,44.1,1500.0,122,0
L50090,38.8,1576.0,124,0
L50092,30.3,1661.0,129,1
L50093,34.6,1541.0,131,0
L50095,62.1,1255.0,138,0
L50096,41.6,1411.0,140,0
L50097,39.0,1516.0,142,0
L50099,30.0,1726.0,147,1
L50100,33.7,1598.0,149,0
L50101,31.1,1657.0,151,1
L50102,38.1,1481.0,153,0
L50104,44.3,1461.0,158,0
L50106,52.4,1507.0,163,0
L50111,45.4,1373.0,179,0
L50112,42.1,1460.0,181,0
L50117,26.0,1810.0,195,1
L50118,34.5,1479.0,197,0
L50119,41.4,1431.0,199,0
L50120,14.4,2355.0,201,1
L50122,49.9,1461.0,0,2
L50124,34.9,1505.0,7,2
L50127,29.0,1592.0,17,1
L50128,24.5,1850.0,19,1
L50131,31.1,1685.0,27,1
L50133,35.4,1578.0,34,2
L50137,45.8,1498.0,47,2
L50140,44.3,1467.0,55,2
L50141,32.8,1654.0,57,1
L50142,39.9,1508.0,59,2
L50144,30.3,1692.0,64,1
L50146,40.2,1601.0,69,2
L50147,51.6,1369.0,71,2
L50149,44.1,1468.0,76,2
L50157,50.3,1413.0,101,2
L50159,38.5,1542.0,108,0
L50160,39.3,1447.0,110,0
L50162,27.7,1795.0,117,1
L50163,57.4,1290.0,119,0
L50164,30.4,1639.0,121,1
L50165,31.5,1596.0,123,1
L50166,48.0,1455.0,125,0
L50169,42.4,1502.0,133,0
L50170,28.6,1688.0,135,1
L50174,52.5,1461.0,146,0
L50175,37.4,1550.0,148,0
L50177,62.7,1345.0,153,0
L50178,34.5,1616.0,155,0
L50179,61.0,1395.0,157,0
L50181,43.9,1445.0,164,0
L50185,37.4,1503.0,175,0
L50186,35.7,1488.0,177,0
L50187,50.2,1314.0,179,0
L50190,37.1,1537.0,187,0
L50192,44.7,1432.0,192,0
L50193,48.4,1390.0,194,0
L50194,42.8,1580.0,196,0
L50195,30.5,1589.0,198,0
L50196,48.8,1441.0,200,0
L50197,51.7,1305.0,202,0
L50199,54.2,1379.0,207,0
L50200,38.1,1543.0,209,0
L50201,49.6,1421.0,211,0
L50202,30.6,1760.0,213,1
L50203,29.2,1711.0,215,1
L50204,41.6,1465.0,217,0
L50205,50.2,1366.0,219,0
L50207,23.6,1777.0,0,1
L50208,55.6,1379.0,2,2
L50209,51.3,1525.0,4,2
L50216,48.1,1319.0,26,2
L50217,24.3,1887.0,28,1
L50218,50.4,1349.0,30,2
L50220,38.7,1474.0,35,2
L50221,38.9,1543.0,37,2
L50223,37.9,1551.0,42,2
L50224,21.4,1981.0,44,1
L50225,35.3,1526.0,46,2
L50227,38.3,1558.0,51,2
L50228,43.2,1532.0,53,2
L50229,55.9,1326.0,55,2
L50230,51.3,1431.0,57,2
L50231,49.3,1366.0,59,2
L50232,42.5,1421.0,61,2
L50235,37.6,1427.0,73,2
L50236,29.9,1667.0,75,1
L50237,46.7,1400.0,77,2
L50238,32.1,1709.0,79,1
L50240,23.8,1882.0,84,1
L50241,58.7,1353.0,86,2
L50242,40.0,1553.0,88,2
L50243,45.4,1431.0,90,2
L50247,37.0,1533.0,101,2
L50249,28.2,1791.0,108,1
L50250,28.3,1631.0,110,1
L50251,16.9,2174.0,112,1
L50252,58.2,1314.0,114,0
L50253,46.9,1478.0,116,0
L50254,27.3,1783.0,118,1
L50256,43.6,1444.0,123,0
L50257,23.0,1841.0,125,1
L50259,56.0,1340.0,130,0
L50263,28.5,1712.0,141,1
L50265,42.9,1441.0,148,0
L50266,32.1,1610.0,150,1
L50271,29.7,1558.0,168,0
L50273,51.2,1397.0,173,0
L50274,22.0,1972.0,175,1
L50276,38.9,1560.0,180,0
L50280,42.1,1578.0,191,0
L50282,48.3,1412.0,198,0
L50283,30.3,1668.0,200,1
L50285,35.4,1612.0,205,0
L50286,39.9,1485.0,207,0
L50288,38.7,1504.0,212,0
L50289,44.3,1491.0,214,0
L50291,27.9,1759.0,5,1
L50295,34.8,1658.0,16,2
L50296,34.4,1566.0,18,2
L50299,23.6,1858.0,26,1
L50301,17.9,2141.0,33,1
L50302,46.0,1473.0,35,2
L50304,39.7,1568.0,42,2
L50305,27.4,1694.0,44,1
L50306,35.7,1499.0,46,2
L50307,28.3,1717.0,48,1
L50309,34.5,1642.0,53,1
L50310,25.4,1760.0,55,1
L50311,32.7,1660.0,57,1
L50312,40.6,1557.0,59,2
L50314,51.5,1359.0,66,2
L50315,52.5,1342.0,68,2
L50316,54.8,1435.0,70,2
L50317,36.5,1567.0,72,2
L50318,43.5,1376.0,74,2
L50321,45.1,1521.0,86,2
L50322,34.7,1658.0,88,1
L50330,32.9,1513.0,117,0
L50331,43.8,1428.0,119,0
L50334,42.5,1534.0,127,0
L50335,54.0,1367.0,129,0
L50336,36.9,1467.0,131,0
L50338,30.1,1679.0,136,1
L50341,63.1,1314.0,146,0
L50342,40.0,1480.0,148,0
L50343,38.9,1549.0,150,0
L50344,31.3,1685.0,152,1
L50345,34.5,1536.0,154,0
L50347,45.1,1384.0,159,0
L50351,56.9,1386.0,170,0
L50353,32.6,1624.0,175,1
L50354,34.6,1600.0,177,0
L50355,44.7,1468.0,179,0
L50356,45.4,1435.0,181,0
L50359,36.8,1570.0,189,0
L50361,37.0,1527.0,194,0
L50363,32.0,1616.0,199,0
L50364,31.0,1654.0,201,1
L50365,27.1,1685.0,203,1
L50369,33.7,1551.0,214,0
L50370,30.1,1599.0,216,0
L50373,44.5,1401.0,0,2
L50374,51.7,1454.0,2,2
L50376,40.3,1489.0,7,2
L50377,40.6,1465.0,9,2
L50381,47.0,1479.0,22,2
L50382,43.4,1430.0,24,2
L50384,54.8,1404.0,29,2
L50389,31.4,1587.0,43,1
L50391,51.4,1462.0,48,2
L50392,32.4,1649.0,50,1
L50393,29.0,1752.0,52,1
L50396,27.6,1653.0,62,1
L50397,21.4,2025.0,64,1
L50398,53.6,1426.0,66,2
L50401,49.1,1423.0,74,2
L50405,40.7,1474.0,87,2
L50406,46.0,1465.0,89,2
L50408,46.8,1475.0,94,2
L50409,43.2,1442.0,96,2
L50410,36.0,1556.0,98,2
L50411,45.3,1425.0,100,2
L50412,38.3,1580.0,102,2
L50414,38.4,1489.0,109,0
L50415,20.5,1946.0,111,1
L50419,48.5,1430.0,122,0
L50420,35.2,1612.0,124,1
L50422,42.4,1384.0,131,0
L50423,28.1,1724.0,133,1
L50426,42.0,1468.0,141,0
L50429,38.9,1493.0,149,0
L50431,36.1,1501.0,156,0
L50432,30.8,1668.0,158,1
L50433,48.9,1502.0,160,0
L50435,42.9,1491.0,165,0
L50436,39.6,1519.0,167,0
L50437,19.7,1984.0,169,1
L50438,32.9,1643.0,171,1
L50442,36.3,1558.0,184,0
L50443,54.8,1344.0,186,0
L50445,53.6,1355.0,193,0
L50446,56.8,1269.0,195,0
L50447,41.5,1550.0,197,0
L50450,21.8,1937.0,205,1
L50454,31.4,1665.0,0,1
L50456,40.9,1438.0,7,2
L50457,41.6,1531.0,9,2
L50458,40.8,1506.0,11,2
L50459,52.4,1382.0,13,2
L50462,40.9,1515.0,21,2
L50463,45.5,1449.0,23,2
L50465,29.7,1687.0,30,1
L50466,37.6,1618.0,32,2
L50468,31.0,1662.0,37,1
L50470,42.3,1385.0,42,2
L50472,44.3,1400.0,47,2
L50474,34.1,1657.0,52,1
L50475,43.4,1496.0,54,2
L50477,38.6,1548.0,59,2
L50478,38.1,1499.0,61,2
L50479,45.8,1390.0,63,2
L50481,47.7,1365.0,70,2
L50482,48.6,1503.0,72,2
L50483,49.9,1390.0,74,2
L50484,45.7,1497.0,76,2
L50486,54.3,1432.0,81,2
L50488,43.4,1433.0,86,2
L50489,50.1,1384.0,88,2
L50490,46.7,1346.0,90,2
L50491,44.7,1459.0,92,2
L50492,28.9,1639.0,94,1
L50493,31.9,1737.0,96,1
L50494,43.5,1489.0,98,2
L50497,28.7,1636.0,106,1
L50498,49.7,1436.0,108,2
L50499,30.6,1689.0,110,1
L50500,16.4,2289.0,112,1
L50501,41.0,1522.0,114,0
L50502,52.9,1351.0,116,0
L50503,36.7,1589.0,118,0
L50504,34.1,1578.0,120,1
L50505,33.7,1587.0,122,1
L50506,20.2,1962.0,124,1
L50508,43.9,1418.0,129,0
L50509,29.7,1683.0,131,1
L50510,50.7,1385.0,133,0
L50511,44.5,1559.0,135,0
L50515,31.2,1705.0,146,1
L50516,35.4,1535.0,148,0
L50517,34.1,1564.0,150,0
L50519,45.2,1492.0,155,0
L50522,52.4,1382.0,165,0
L50524,27.9,1706.0,170,1
L50525,34.1,1594.0,172,0
L50526,24.3,1761.0,174,1
L50527,41.8,1529.0,176,0
L50529,27.8,1673.0,181,1
L50530,62.6,1285.0,183,0
L50531,31.4,1680.0,185,1
L50532,34.6,1610.0,187,0
L50533,31.6,1632.0,189,1
